Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,37,0,180,177.21097297239672,122.36050000501564,279.52430000004824,8.0,0.12364005547479476,0.0,180,190,200,200,240,260,280,280,280,280,280
GET,checkout GET /cart,37,0,150,181.53250540490262,122.02979999710806,525.760700002138,113.0,0.12364005547479476,0.0,150,200,210,220,230,320,530,530,530,530,530
GET,checkout GET /catalogue,37,0,120,144.94922702775708,72.0556000014767,753.2422000003862,2795.0,0.12364005547479476,0.0,120,160,170,170,190,220,750,750,750,750,750
GET,checkout GET /login,38,0,150,206.4783710524544,137.15220000449335,1495.083199995861,13.0,0.12698167859573517,0.0,160,170,180,200,200,430,1500,1500,1500,1500,1500
POST,checkout POST /addresses,1,0,170.98819999955595,170.98819999955595,170.98819999955595,170.98819999955595,33.0,0.003341623120940399,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,checkout POST /cards,1,0,139.03030000074068,139.03030000074068,139.03030000074068,139.03030000074068,33.0,0.003341623120940399,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,checkout POST /cart,37,0,170,259.2411513520543,137.77480000135256,1524.426299998595,7.0,0.12364005547479476,0.0,170,210,220,250,400,810,1500,1500,1500,1500,1500
POST,checkout POST /orders,37,0,310,461.0431540544645,168.17009999795118,4937.01449999935,652.0,0.12364005547479476,0.0,310,340,390,410,650,810,4900,4900,4900,4900,4900
POST,checkout POST /register,1,0,1554.9499000044307,1554.9499000044307,1554.9499000044307,1554.9499000044307,33.0,0.003341623120940399,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
,Aggregated,226,0,170,243.35529159303664,72.0556000014767,4937.01449999935,587.9115044247787,0.7552068253325301,0.0,170,200,220,240,340,530,810,1500,4900,4900,4900
